airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
2B,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,NBC,Begishevo Airport,Nizhnekamsk,Russia,CR2
2B,NBC,Begishevo Airport,Nizhnekamsk,Russia,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,CR2
2J,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,CRJ
2J,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,E70 CRJ M87
2J,ACC,Kotoka International Airport,Accra,Ghana,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,BKO,Modibo Keita International Airport,Bamako,Mali,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,M87
2J,BKO,Modibo Keita International Airport,Bamako,Mali,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87
2J,BKO,Modibo Keita International Airport,Bamako,Mali,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,CRJ
2J,COO,Cadjehoun Airport,Cotonou,Benin,LFW,Lomé-Tokoin Airport,Lome,Togo,M87
2J,COO,Cadjehoun Airport,Cotonou,Benin,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87
2J,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,BKO,Modibo Keita International Airport,Bamako,Mali,M87
2J,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87
2J,LFW,Lomé-Tokoin Airport,Lome,Togo,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87 CRJ
2J,NIM,Diori Hamani International Airport,Niamey,Niger,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,E70 CRJ M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ACC,Kotoka International Airport,Accra,Ghana,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,BKO,Modibo Keita International Airport,Bamako,Mali,M87 CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,COO,Cadjehoun Airport,Cotonou,Benin,M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,LFW,Lomé-Tokoin Airport,Lome,Togo,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,NIM,Diori Hamani International Airport,Niamey,Niger,CRJ
2K,BOG,El Dorado International Airport,Bogota,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319
2K,BOG,El Dorado International Airport,Bogota,Colombia,UIO,Mariscal Sucre International Airport,Quito,Ecuador,319 320
2K,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319
2K,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319
2K,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,319
2K,UIO,Mariscal Sucre International Airport,Quito,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319 320
2L,BDS,Brindisi – Salento Airport,Brindisi,Italy,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,BRS,Bristol Airport,Bristol,United Kingdom,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319
2L,LCA,Larnaca International Airport,Larnaca,Cyprus,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,LPA,Gran Canaria Airport,Gran Canaria,Spain,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,TFS,Tenerife South Airport,Tenerife,Spain,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,BDS,Brindisi – Salento Airport,Brindisi,Italy,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,BRS,Bristol Airport,Bristol,United Kingdom,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,LCA,Larnaca International Airport,Larnaca,Cyprus,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,319
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,MHQ,Mariehamn Airport,Mariehamn,Finland,SF3
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,POR,Pori Airport,Pori,Finland,SF3
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,SF3
2N,MHQ,Mariehamn Airport,Mariehamn,Finland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3
2N,OSL,Oslo Lufthavn,Oslo,Norway,VXO,Växjö Kronoberg Airport,Vaxjo,Sweden,SF3
2N,POR,Pori Airport,Pori,Finland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3
2N,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3
2N,VXO,Växjö Kronoberg Airport,Vaxjo,Sweden,OSL,Oslo Lufthavn,Oslo,Norway,SF3
2P,DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,MNL,Ninoy Aquino International Airport,Manila,Philippines,330
2P,MNL,Ninoy Aquino International Airport,Manila,Philippines,DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,330
3G,ACC,Kotoka International Airport,Accra,Ghana,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,ACC,Kotoka International Airport,Accra,Ghana,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319
3G,ACC,Kotoka International Airport,Accra,Ghana,ROB,Roberts International Airport,Monrovia,Liberia,319
3G,BCN,Barcelona International Airport,Barcelona,Spain,BJL,Banjul International Airport,Banjul,Gambia,319
3G,BJL,Banjul International Airport,Banjul,Gambia,BCN,Barcelona International Airport,Barcelona,Spain,319
3G,BJL,Banjul International Airport,Banjul,Gambia,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,BJL,Banjul International Airport,Banjul,Gambia,FNA,Lungi International Airport,Freetown,Sierra Leone,319
3G,CKY,Conakry International Airport,Conakry,Guinea,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,ACC,Kotoka International Airport,Accra,Ghana,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,BJL,Banjul International Airport,Banjul,Gambia,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,DLA,Douala International Airport,Douala,Cameroon,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,FNA,Lungi International Airport,Freetown,Sierra Leone,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319
3G,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,319
3G,DLA,Douala International Airport,Douala,Cameroon,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,DLA,Douala International Airport,Douala,Cameroon,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319
3G,FNA,Lungi International Airport,Freetown,Sierra Leone,BJL,Banjul International Airport,Banjul,Gambia,319
3G,FNA,Lungi International Airport,Freetown,Sierra Leone,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,FNA,Lungi International Airport,Freetown,Sierra Leone,LGW,London Gatwick Airport,London,United Kingdom,319
3G,FNA,Lungi International Airport,Freetown,Sierra Leone,ROB,Roberts International Airport,Monrovia,Liberia,319
3G,LGW,London Gatwick Airport,London,United Kingdom,FNA,Lungi International Airport,Freetown,Sierra Leone,319
3G,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,ACC,Kotoka International Airport,Accra,Ghana,319
3G,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,DLA,Douala International Airport,Douala,Cameroon,319
3G,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,ROB,Roberts International Airport,Monrovia,Liberia,319
3G,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,CKY,Conakry International Airport,Conakry,Guinea,319
3G,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319
3G,ROB,Roberts International Airport,Monrovia,Liberia,ACC,Kotoka International Airport,Accra,Ghana,319
3G,ROB,Roberts International Airport,Monrovia,Liberia,FNA,Lungi International Airport,Freetown,Sierra Leone,319
3G,ROB,Roberts International Airport,Monrovia,Liberia,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319
3J,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,DXB,Dubai International Airport,Dubai,United Arab Emirates,737
3J,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,737
3J,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,MGQ,Aden Adde International Airport,Mogadishu,Somalia,737
3J,MGQ,Aden Adde International Airport,Mogadishu,Somalia,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,737
3J,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,MGQ,Aden Adde International Airport,Mogadishu,Somalia,737
3K,BKK,Suvarnabhumi Airport,Bangkok,Thailand,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,DRW,Darwin International Airport,Darwin,Australia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,HAK,Haikou Meilan International Airport,Haikou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,HKT,Phuket International Airport,Phuket,Thailand,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,KIX,Kansai International Airport,Osaka,Japan,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
3K,KIX,Kansai International Airport,Osaka,Japan,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320
3K,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,MNL,Ninoy Aquino International Airport,Manila,Philippines,KIX,Kansai International Airport,Osaka,Japan,320
3K,MNL,Ninoy Aquino International Airport,Manila,Philippines,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,PEN,Penang International Airport,Penang,Malaysia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,PER,Perth International Airport,Perth,Australia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,PNH,Phnom Penh International Airport,Phnom-penh,Cambodia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,REP,Siem Reap International Airport,Siem-reap,Cambodia,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,RGN,Yangon International Airport,Yangon,Burma,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,BKK,Suvarnabhumi Airport,Bangkok,Thailand,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,DRW,Darwin International Airport,Darwin,Australia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,HAK,Haikou Meilan International Airport,Haikou,China,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,HKT,Phuket International Airport,Phuket,Thailand,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,PEN,Penang International Airport,Penang,Malaysia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,PER,Perth International Airport,Perth,Australia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,PNH,Phnom Penh International Airport,Phnom-penh,Cambodia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,REP,Siem Reap International Airport,Siem-reap,Cambodia,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,RGN,Yangon International Airport,Yangon,Burma,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,SWA,Jieyang Chaoshan International Airport,Shantou,China,320
3K,SIN,Singapore Changi Airport,Singapore,Singapore,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320
3K,SWA,Jieyang Chaoshan International Airport,Shantou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320
3K,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,KIX,Kansai International Airport,Osaka,Japan,320
3K,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,SIN,Singapore Changi Airport,Singapore,Singapore,320
3L,ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3
3L,DRS,Dresden Airport,Dresden,Germany,ZRH,Zürich Airport,Zurich,Switzerland,DH3
3L,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,DH3
3L,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,DH3
3L,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,MUC,Munich Airport,Munich,Germany,DH3
3L,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,ZRH,Zürich Airport,Zurich,Switzerland,DH3
3L,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3
3L,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,OLB,Olbia Costa Smeralda Airport,Olbia,Italy,AT7
3L,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,ZAD,Zadar Airport,Zadar,Croatia,AT7
3L,FMM,Memmingen Allgau Airport,Memmingen,Germany,NAP,Naples International Airport,Naples,Italy,AT7
3L,GRZ,Graz Airport,Graz,Austria,ZRH,Zürich Airport,Zurich,Switzerland,DH3
3L,MUC,Munich Airport,Munich,Germany,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3
3L,NAP,Naples International Airport,Naples,Italy,FMM,Memmingen Allgau Airport,Memmingen,Germany,AT7
3L,OLB,Olbia Costa Smeralda Airport,Olbia,Italy,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,AT7
3L,SZG,Salzburg Airport,Salzburg,Austria,ZRH,Zürich Airport,Zurich,Switzerland,DH3
3L,ZAD,Zadar Airport,Zadar,Croatia,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,AT7
3L,ZRH,Zürich Airport,Zurich,Switzerland,DRS,Dresden Airport,Dresden,Germany,DH3
3L,ZRH,Zürich Airport,Zurich,Switzerland,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3
3L,ZRH,Zürich Airport,Zurich,Switzerland,GRZ,Graz Airport,Graz,Austria,DH3
3L,ZRH,Zürich Airport,Zurich,Switzerland,SZG,Salzburg Airport,Salzburg,Austria,DH3
3M,BIM,South Bimini Airport,Alice Town,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,PBI,Palm Beach International Airport,West Palm Beach,United States,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,BIM,South Bimini Airport,Alice Town,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FPO,Grand Bahama International Airport,Freeport,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,GGT,Exuma International Airport,Great Exuma,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3
3M,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,TCB,Treasure Cay Airport,Treasure Cay,Bahamas,SF3
3M,FPO,Grand Bahama International Airport,Freeport,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,GGT,Exuma International Airport,Great Exuma,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,JAX,Jacksonville International Airport,Jacksonville,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3
3M,MCO,Orlando International Airport,Orlando,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3
3M,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3M,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,JAX,Jacksonville International Airport,Jacksonville,United States,SF3
3M,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MCO,Orlando International Airport,Orlando,United States,SF3
3M,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,PBI,Palm Beach International Airport,West Palm Beach,United States,SF3
3M,PBI,Palm Beach International Airport,West Palm Beach,United States,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,SF3
3M,PBI,Palm Beach International Airport,West Palm Beach,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3
3M,TCB,Treasure Cay Airport,Treasure Cay,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3
3O,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,NDR,Nador International Airport,El Aroui,Morocco,320
3O,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,TNG,Ibn Batouta Airport,Tanger,Morocco,320
3O,BCN,Barcelona International Airport,Barcelona,Spain,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,BCN,Barcelona International Airport,Barcelona,Spain,NDR,Nador International Airport,El Aroui,Morocco,320
3O,BCN,Barcelona International Airport,Barcelona,Spain,TNG,Ibn Batouta Airport,Tanger,Morocco,320
3O,BGY,Il Caravaggio International Airport,Bergamo,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,BRU,Brussels Airport,Brussels,Belgium,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,BRU,Brussels Airport,Brussels,Belgium,NDR,Nador International Airport,El Aroui,Morocco,320
3O,BRU,Brussels Airport,Brussels,Belgium,TNG,Ibn Batouta Airport,Tanger,Morocco,320
3O,CGN,Cologne Bonn Airport,Cologne,Germany,NDR,Nador International Airport,El Aroui,Morocco,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,BCN,Barcelona International Airport,Barcelona,Spain,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,BGY,Il Caravaggio International Airport,Bergamo,Italy,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,BRU,Brussels Airport,Brussels,Belgium,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,CUF,Cuneo International Airport,Cuneo,Italy,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,LGW,London Gatwick Airport,London,United Kingdom,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,LYS,Lyon Saint-Exupéry Airport,Lyon,France,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,TLS,Toulouse-Blagnac Airport,Toulouse,France,320
3O,CMN,Mohammed V International Airport,Casablanca,Morocco,TSF,Treviso-Sant'Angelo Airport,Treviso,Italy,320
3O,CUF,Cuneo International Airport,Cuneo,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,FEZ,Saïss Airport,Fes,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320
3O,LGW,London Gatwick Airport,London,United Kingdom,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,LGW,London Gatwick Airport,London,United Kingdom,TNG,Ibn Batouta Airport,Tanger,Morocco,320
3O,LYS,Lyon Saint-Exupéry Airport,Lyon,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,MPL,Montpellier-Méditerranée Airport,Montpellier,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,MPL,Montpellier-Méditerranée Airport,Montpellier,France,FEZ,Saïss Airport,Fes,Morocco,320
3O,MPL,Montpellier-Méditerranée Airport,Montpellier,France,NDR,Nador International Airport,El Aroui,Morocco,320
3O,NDR,Nador International Airport,El Aroui,Morocco,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,320
3O,NDR,Nador International Airport,El Aroui,Morocco,BCN,Barcelona International Airport,Barcelona,Spain,320
3O,NDR,Nador International Airport,El Aroui,Morocco,BRU,Brussels Airport,Brussels,Belgium,320
3O,NDR,Nador International Airport,El Aroui,Morocco,CGN,Cologne Bonn Airport,Cologne,Germany,320
3O,NDR,Nador International Airport,El Aroui,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320
3O,NDR,Nador International Airport,El Aroui,Morocco,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,320
3O,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,NDR,Nador International Airport,El Aroui,Morocco,320
3O,SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,TLS,Toulouse-Blagnac Airport,Toulouse,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3O,TNG,Ibn Batouta Airport,Tanger,Morocco,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,320
3O,TNG,Ibn Batouta Airport,Tanger,Morocco,BCN,Barcelona International Airport,Barcelona,Spain,320
3O,TNG,Ibn Batouta Airport,Tanger,Morocco,BRU,Brussels Airport,Brussels,Belgium,320
3O,TNG,Ibn Batouta Airport,Tanger,Morocco,LGW,London Gatwick Airport,London,United Kingdom,320
3O,TSF,Treviso-Sant'Angelo Airport,Treviso,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320
3P,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,LSP,Josefa Camejo International Airport,Paraguana,Venezuela,SH6
3P,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,MAR,La Chinita International Airport,Maracaibo,Venezuela,SH6
3P,CUR,Hato International Airport,Willemstad,Netherlands Antilles,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,SH6
3P,LSP,Josefa Camejo International Airport,Paraguana,Venezuela,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,SH6
3P,MAR,La Chinita International Airport,Maracaibo,Venezuela,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,SH6
3R,BHK,Bukhara Airport,Bukhara,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,DME,Domodedovo International Airport,Moscow,Russia,BHK,Bukhara Airport,Bukhara,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,FEG,Fergana International Airport,Fergana,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,KSQ,Karshi Khanabad Airport,Khanabad,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,NMA,Namangan Airport,Namangan,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,NVI,Navoi Airport,Navoi,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,SKD,Samarkand Airport,Samarkand,Uzbekistan,734
3R,DME,Domodedovo International Airport,Moscow,Russia,TIV,Tivat Airport,Tivat,Montenegro,SU9 73G
3R,FEG,Fergana International Airport,Fergana,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,KSQ,Karshi Khanabad Airport,Khanabad,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,NMA,Namangan Airport,Namangan,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,NVI,Navoi Airport,Navoi,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,SKD,Samarkand Airport,Samarkand,Uzbekistan,DME,Domodedovo International Airport,Moscow,Russia,734
3R,TIV,Tivat Airport,Tivat,Montenegro,DME,Domodedovo International Airport,Moscow,Russia,SU9 73G
3S,ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,PTP,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,AT5
3S,CAY,Cayenne-Rochambeau Airport,Cayenne,French Guiana,FDF,Martinique Aimé Césaire International Airport,Fort-de-france,Martinique,320
3S,CUR,Hato International Airport,Willemstad,Netherlands Antilles,SDQ,Las Américas International Airport,Santo Domingo,Dominican Republic,AT5
3S,DOM,Douglas-Charles Airport,Dominica,Dominica,PTP,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,AT5
