airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment,flight
Vistara,ZRH,Zürich Airport,Zurich,Switzerland,BDS,Brindisi – Salento Airport,Brindisi,Italy,100,UK-815
Air_India,ZRH,Zürich Airport,Zurich,Switzerland,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,100,AI-453
SpiceJet,ZRH,Zürich Airport,Zurich,Switzerland,BRS,Bristol Airport,Bristol,United Kingdom,100,SG-2976
SpiceJet,ZRH,Zürich Airport,Zurich,Switzerland,LCA,Larnaca International Airport,Larnaca,Cyprus,319,SG-2976
Air_India,ZRH,Zürich Airport,Zurich,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319,AI-504
Air_India,ZRH,Zürich Airport,Zurich,Switzerland,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,319,AI-502
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,MHQ,Mariehamn Airport,Mariehamn,Finland,SF3,AI-506
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,POR,Pori Airport,Pori,Finland,SF3,AI-803
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,SF3,AI-479
SpiceJet,MHQ,Mariehamn Airport,Mariehamn,Finland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3,SG-339
Vistara,OSL,Oslo Lufthavn,Oslo,Norway,VXO,Växjö Kronoberg Airport,Vaxjo,Sweden,SF3,UK-955
Vistara,POR,Pori Airport,Pori,Finland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3,UK-627
AirAsia,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SF3,I5-784
Air_India,VXO,Växjö Kronoberg Airport,Vaxjo,Sweden,OSL,Oslo Lufthavn,Oslo,Norway,SF3,AI-9643
Air_India,DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,MNL,Ninoy Aquino International Airport,Manila,Philippines,330,AI-540
Air_India,MNL,Ninoy Aquino International Airport,Manila,Philippines,DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,330,AI-429
Air_India,ACC,Kotoka International Airport,Accra,Ghana,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,AI-439
Air_India,ACC,Kotoka International Airport,Accra,Ghana,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319,AI-9645
Indigo,ACC,Kotoka International Airport,Accra,Ghana,ROB,Roberts International Airport,Monrovia,Liberia,319,6E-2193
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,BJL,Banjul International Airport,Banjul,Gambia,319,6E-2168
Indigo,BJL,Banjul International Airport,Banjul,Gambia,BCN,Barcelona International Airport,Barcelona,Spain,319,6.00E-152
Indigo,BJL,Banjul International Airport,Banjul,Gambia,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,6E-2193
Indigo,BJL,Banjul International Airport,Banjul,Gambia,FNA,Lungi International Airport,Freetown,Sierra Leone,319,6E-369
Vistara,CKY,Conakry International Airport,Conakry,Guinea,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,319,UK-899
Air_India,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,ACC,Kotoka International Airport,Accra,Ghana,319,AI-764
Vistara,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,BJL,Banjul International Airport,Banjul,Gambia,319,UK-747
Vistara,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,DLA,Douala International Airport,Douala,Cameroon,319,UK-809
Vistara,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,FNA,Lungi International Airport,Freetown,Sierra Leone,319,UK-737
Vistara,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319,UK-813
Vistara,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,319,UK-817
Vistara,DLA,Douala International Airport,Douala,Cameroon,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,UK-813
Indigo,DLA,Douala International Airport,Douala,Cameroon,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319,6E-2338
GO_FIRST,FNA,Lungi International Airport,Freetown,Sierra Leone,BJL,Banjul International Airport,Banjul,Gambia,319,G8-237
Vistara,FNA,Lungi International Airport,Freetown,Sierra Leone,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,UK-871
Vistara,FNA,Lungi International Airport,Freetown,Sierra Leone,LGW,London Gatwick Airport,London,United Kingdom,319,UK-871
Air_India,FNA,Lungi International Airport,Freetown,Sierra Leone,ROB,Roberts International Airport,Monrovia,Liberia,319,AI-762
GO_FIRST,LGW,London Gatwick Airport,London,United Kingdom,FNA,Lungi International Airport,Freetown,Sierra Leone,319,G8-1404
Vistara,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,ACC,Kotoka International Airport,Accra,Ghana,319,UK-747
Air_India,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,AI-512
Air_India,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,DLA,Douala International Airport,Douala,Cameroon,319,AI-537
Vistara,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,ROB,Roberts International Airport,Monrovia,Liberia,319,UK-977
Vistara,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,CKY,Conakry International Airport,Conakry,Guinea,319,UK-809
Vistara,OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,319,UK-809
Indigo,ROB,Roberts International Airport,Monrovia,Liberia,ACC,Kotoka International Airport,Accra,Ghana,319,6.00E-184
SpiceJet,ROB,Roberts International Airport,Monrovia,Liberia,FNA,Lungi International Airport,Freetown,Sierra Leone,319,SG-3002
Indigo,ROB,Roberts International Airport,Monrovia,Liberia,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,319,6E-2102
Air_India,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,DXB,Dubai International Airport,Dubai,United Arab Emirates,737,AI-801
Vistara,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,737,UK-637
Vistara,JIB,Djibouti-Ambouli Airport,Djibouti,Djibouti,MGQ,Aden Adde International Airport,Mogadishu,Somalia,737,UK-747
Vistara,MGQ,Aden Adde International Airport,Mogadishu,Somalia,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,737,UK-835
Air_India,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,MGQ,Aden Adde International Airport,Mogadishu,Somalia,737,AI-764
Air_India,BKK,Suvarnabhumi Airport,Bangkok,Thailand,SIN,Singapore Changi Airport,Singapore,Singapore,320,AI-531
Vistara,DRW,Darwin International Airport,Darwin,Australia,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-817
Vistara,HAK,Haikou Meilan International Airport,Haikou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-819
Vistara,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-801
Vistara,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-815
Vistara,HKT,Phuket International Airport,Phuket,Thailand,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-813
Vistara,KIX,Kansai International Airport,Osaka,Japan,MNL,Ninoy Aquino International Airport,Manila,Philippines,320,UK-705
Vistara,KIX,Kansai International Airport,Osaka,Japan,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320,UK-707
Vistara,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-737
Air_India,MNL,Ninoy Aquino International Airport,Manila,Philippines,KIX,Kansai International Airport,Osaka,Japan,320,AI-762
Vistara,MNL,Ninoy Aquino International Airport,Manila,Philippines,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-673
Air_India,PEN,Penang International Airport,Penang,Malaysia,SIN,Singapore Changi Airport,Singapore,Singapore,320,AI-839
Vistara,PER,Perth International Airport,Perth,Australia,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-879
Vistara,PNH,Phnom Penh International Airport,Phnom-penh,Cambodia,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-705
GO_FIRST,REP,Siem Reap International Airport,Siem-reap,Cambodia,SIN,Singapore Changi Airport,Singapore,Singapore,320,G8-191
Vistara,RGN,Yangon International Airport,Yangon,Burma,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-819
Vistara,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-801
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,BKK,Suvarnabhumi Airport,Bangkok,Thailand,320,UK-815
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,DRW,Darwin International Airport,Darwin,Australia,320,UK-809
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,HAK,Haikou Meilan International Airport,Haikou,China,320,UK-835
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,320,AI-767
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,320,AI-401
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,HKT,Phuket International Airport,Phuket,Thailand,320,UK-705
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,320,AI-473
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,MNL,Ninoy Aquino International Airport,Manila,Philippines,320,UK-707
GO_FIRST,SIN,Singapore Changi Airport,Singapore,Singapore,PEN,Penang International Airport,Penang,Malaysia,320,G8-213
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,PER,Perth International Airport,Perth,Australia,320,AI-409
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,PNH,Phnom Penh International Airport,Phnom-penh,Cambodia,320,AI-429
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,REP,Siem Reap International Airport,Siem-reap,Cambodia,320,AI-401
Vistara,SIN,Singapore Changi Airport,Singapore,Singapore,RGN,Yangon International Airport,Yangon,Burma,320,UK-837
Air_India,SIN,Singapore Changi Airport,Singapore,Singapore,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,320,AI-877
SpiceJet,SIN,Singapore Changi Airport,Singapore,Singapore,SWA,Jieyang Chaoshan International Airport,Shantou,China,320,SG-8803
SpiceJet,SIN,Singapore Changi Airport,Singapore,Singapore,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320,SG-8169
Vistara,SWA,Jieyang Chaoshan International Airport,Shantou,China,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-927
Vistara,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,KIX,Kansai International Airport,Osaka,Japan,320,UK-985
Vistara,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,SIN,Singapore Changi Airport,Singapore,Singapore,320,UK-977
Vistara,ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3,UK-963
Vistara,DRS,Dresden Airport,Dresden,Germany,ZRH,Zürich Airport,Zurich,Switzerland,DH3,UK-955
Vistara,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,DH3,UK-953
GO_FIRST,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,DH3,G8-334
GO_FIRST,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,MUC,Munich Airport,Munich,Germany,DH3,G8-336
GO_FIRST,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,ZRH,Zürich Airport,Zurich,Switzerland,DH3,G8-346
GO_FIRST,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3,G8-330
GO_FIRST,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,OLB,Olbia Costa Smeralda Airport,Olbia,Italy,AT7,G8-338
GO_FIRST,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,ZAD,Zadar Airport,Zadar,Croatia,AT7,G8-323
Indigo,FMM,Memmingen Allgau Airport,Memmingen,Germany,NAP,Naples International Airport,Naples,Italy,AT7,6E-5001
Indigo,GRZ,Graz Airport,Graz,Austria,ZRH,Zürich Airport,Zurich,Switzerland,DH3,6E-2046
Indigo,MUC,Munich Airport,Munich,Germany,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3,6E-5041
Indigo,NAP,Naples International Airport,Naples,Italy,FMM,Memmingen Allgau Airport,Memmingen,Germany,AT7,6.00E-218
Indigo,OLB,Olbia Costa Smeralda Airport,Olbia,Italy,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,AT7,6E-549
Indigo,SZG,Salzburg Airport,Salzburg,Austria,ZRH,Zürich Airport,Zurich,Switzerland,DH3,6E-6722
SpiceJet,ZAD,Zadar Airport,Zadar,Croatia,FDH,Friedrichshafen Airport,Friedrichshafen,Germany,AT7,SG-8157
Indigo,ZRH,Zürich Airport,Zurich,Switzerland,DRS,Dresden Airport,Dresden,Germany,DH3,6E-6278
Indigo,ZRH,Zürich Airport,Zurich,Switzerland,EBA,Marina Di Campo Airport,Marina Di Campo,Italy,DH3,6E-5328
AirAsia,ZRH,Zürich Airport,Zurich,Switzerland,GRZ,Graz Airport,Graz,Austria,DH3,I5-764
Air_India,ZRH,Zürich Airport,Zurich,Switzerland,SZG,Salzburg Airport,Salzburg,Austria,DH3,AI-868
Air_India,BIM,South Bimini Airport,Alice Town,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,AI-887
Air_India,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,AI-665
Air_India,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,PBI,Palm Beach International Airport,West Palm Beach,United States,SF3,AI-805
Air_India,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,BIM,South Bimini Airport,Alice Town,Bahamas,SF3,AI-624
AirAsia,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,SF3,I5-747
AirAsia,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FPO,Grand Bahama International Airport,Freeport,Bahamas,SF3,I5-747
GO_FIRST,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,GGT,Exuma International Airport,Great Exuma,Bahamas,SF3,G8-188
GO_FIRST,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,SF3,G8-103
Air_India,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3,AI-636
Air_India,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,TCB,Treasure Cay Airport,Treasure Cay,Bahamas,SF3,AI-441
Vistara,FPO,Grand Bahama International Airport,Freeport,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,UK-995
Vistara,GGT,Exuma International Airport,Great Exuma,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,UK-951
Vistara,GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,UK-933
Vistara,JAX,Jacksonville International Airport,Jacksonville,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3,UK-945
AirAsia,MCO,Orlando International Airport,Orlando,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3,I5-784
Indigo,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,6E-6202
Indigo,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,JAX,Jacksonville International Airport,Jacksonville,United States,SF3,6E-2022
SpiceJet,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MCO,Orlando International Airport,Orlando,United States,SF3,SG-2976
SpiceJet,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,PBI,Palm Beach International Airport,West Palm Beach,United States,SF3,SG-2976
Air_India,PBI,Palm Beach International Airport,West Palm Beach,United States,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,SF3,AI-469
Air_India,PBI,Palm Beach International Airport,West Palm Beach,United States,MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,SF3,AI-542
Air_India,TCB,Treasure Cay Airport,Treasure Cay,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,SF3,AI-560
Vistara,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,NDR,Nador International Airport,El Aroui,Morocco,320,UK-683
Air_India,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,TNG,Ibn Batouta Airport,Tanger,Morocco,320,AI-403
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,CMN,Mohammed V International Airport,Casablanca,Morocco,320,6E-2154
Air_India,BCN,Barcelona International Airport,Barcelona,Spain,NDR,Nador International Airport,El Aroui,Morocco,320,AI-9843
Vistara,BCN,Barcelona International Airport,Barcelona,Spain,TNG,Ibn Batouta Airport,Tanger,Morocco,320,UK-871
Indigo,BGY,Il Caravaggio International Airport,Bergamo,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320,6E-2168
Indigo,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320,6E-2193
Indigo,BRU,Brussels Airport,Brussels,Belgium,CMN,Mohammed V International Airport,Casablanca,Morocco,320,6E-369
Air_India,BRU,Brussels Airport,Brussels,Belgium,NDR,Nador International Airport,El Aroui,Morocco,320,AI-544
Indigo,BRU,Brussels Airport,Brussels,Belgium,TNG,Ibn Batouta Airport,Tanger,Morocco,320,6E-2338
Indigo,CGN,Cologne Bonn Airport,Cologne,Germany,NDR,Nador International Airport,El Aroui,Morocco,320,6.00E-282
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,BCN,Barcelona International Airport,Barcelona,Spain,320,UK-809
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,BGY,Il Caravaggio International Airport,Bergamo,Italy,320,UK-813
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,320,UK-817
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,BRU,Brussels Airport,Brussels,Belgium,320,UK-815
Indigo,CMN,Mohammed V International Airport,Casablanca,Morocco,CUF,Cuneo International Airport,Cuneo,Italy,320,6E-2193
Indigo,CMN,Mohammed V International Airport,Casablanca,Morocco,LGW,London Gatwick Airport,London,United Kingdom,320,6.00E-152
Air_India,CMN,Mohammed V International Airport,Casablanca,Morocco,LYS,Lyon Saint-Exupéry Airport,Lyon,France,320,AI-453
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320,UK-859
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,320,UK-637
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,TLS,Toulouse-Blagnac Airport,Toulouse,France,320,UK-801
Vistara,CMN,Mohammed V International Airport,Casablanca,Morocco,TSF,Treviso-Sant'Angelo Airport,Treviso,Italy,320,UK-829
Vistara,CUF,Cuneo International Airport,Cuneo,Italy,CMN,Mohammed V International Airport,Casablanca,Morocco,320,UK-899
Vistara,FEZ,Saïss Airport,Fes,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320,UK-829
Air_India,LGW,London Gatwick Airport,London,United Kingdom,CMN,Mohammed V International Airport,Casablanca,Morocco,320,AI-9857
Indigo,LGW,London Gatwick Airport,London,United Kingdom,TNG,Ibn Batouta Airport,Tanger,Morocco,320,6E-607
Air_India,LYS,Lyon Saint-Exupéry Airport,Lyon,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320,AI-504
Vistara,MPL,Montpellier-Méditerranée Airport,Montpellier,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320,UK-819
Air_India,MPL,Montpellier-Méditerranée Airport,Montpellier,France,FEZ,Saïss Airport,Fes,Morocco,320,AI-885
SpiceJet,MPL,Montpellier-Méditerranée Airport,Montpellier,France,NDR,Nador International Airport,El Aroui,Morocco,320,SG-2277
Air_India,NDR,Nador International Airport,El Aroui,Morocco,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,320,AI-540
Air_India,NDR,Nador International Airport,El Aroui,Morocco,BCN,Barcelona International Airport,Barcelona,Spain,320,AI-885
Air_India,NDR,Nador International Airport,El Aroui,Morocco,BRU,Brussels Airport,Brussels,Belgium,320,AI-762
Air_India,NDR,Nador International Airport,El Aroui,Morocco,CGN,Cologne Bonn Airport,Cologne,Germany,320,AI-764
Air_India,NDR,Nador International Airport,El Aroui,Morocco,MPL,Montpellier-Méditerranée Airport,Montpellier,France,320,AI-885
GO_FIRST,NDR,Nador International Airport,El Aroui,Morocco,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,320,G8-719
GO_FIRST,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,NDR,Nador International Airport,El Aroui,Morocco,320,G8-188
Vistara,SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,CMN,Mohammed V International Airport,Casablanca,Morocco,320,UK-879
Vistara,TLS,Toulouse-Blagnac Airport,Toulouse,France,CMN,Mohammed V International Airport,Casablanca,Morocco,320,UK-737
